tale	old	modern	confidence	method	context
de-vises-steen	fortælle	fortæller	0.90	window	Olger- eller Holgerskikkelsen har rod i dén franske middelalderlige ridderdigtning, der omhandler sagnkredsen omkring Ka
de-vises-steen	have	har	0.70	window	Du skal høre her om Solens Træ i »Indieland, øster ud til Verdens Ende,« som de forstod det dengang, de, der ikke havde 
de-vises-steen	have	har	0.70	window	Solens Træ var et prægtigt Træ, som vi aldrig have seet det, og Du heller aldrig vil faae det at see;
de-vises-steen	kalde	kalder	0.90	window	Hvor levede man og hvorledes? »I Himlen deroppe!« sagde de Fromme, »derop gaae vi!« – »Derop!« gjentog den Vise og saae 
de-vises-steen	kalde	kalder	0.90	window	De spurgte Faderen om det Skjønne , Sande og Gode , og han forklarede dem det, sagde dem saa Meget, sagde ogsaa, at da G
de-vises-steen	gjøre	gør	0.80	window	Meget skal blive anderledes, naar jeg kommer med!« ja, han tænkte kjækt og stort, som vi Alle gjøre det hjemme i Kakkelo
de-vises-steen	komme	kommer	0.90	window	Meget skal blive anderledes, naar jeg kommer med!« ja, han tænkte kjækt og stort, som vi Alle gjøre det hjemme i Kakkelo
de-vises-steen	kunne	kan	0.70	window	Han havde Øine for alle Tider, sagde han, Øine for alle Folkefærd, Øine, der kunde see lige ned i Jorden, hvor Skattene 
de-vises-steen	kunne	kan	0.70	window	Nu sagde han Farvel til det faderlige Hjem i Solens Træ, han gik gjennem Hjemmets Deilighed, men udenfor satte han sig o
de-vises-steen	gjøre	gør	0.70	window	Nu sagde han Farvel til det faderlige Hjem i Solens Træ, han gik gjennem Hjemmets Deilighed, men udenfor satte han sig o
de-vises-steen	blive	bliver	0.80	window	Synet og Hørelsen ere altid af Menneskene blevne ansete for de to betydeligste Sandse-Evner, dem man især ønsker sig stæ
de-vises-steen	skulle	skal	0.70	window	Men Luftballonerne vare ikke opdagede, ikke heller Dampskibe og Jernbaner. »Ja, saa tager jeg en Luftballon!« sagde han,
de-vises-steen	have	har	0.70	window	Luften blev sort af Fugle, de kom som en stor Sky, som Græshoppe-Sværmen hen over Ægyptens Land , og saa var han ude i d
de-vises-steen	vide	ved	0.70	window	Endelig en Nat drømte hun, at deres Stemmer klang til hende, de kaldte, de raabte ude fra den vide Verden, og hun maatte
de-vises-steen	græde	græder	0.90	window	Ind i Hjertets Kroge lød Hjerteklangen og Tankeklangen fra Menneskene; det bruste i Chor: Ydun, Ugeskrift for Damer , nr
de-vises-steen	kunne	kan	0.70	window	Længsel efter Hjemmet havde grebet og ført dem, da det grønne Blad faldt paa deres Bryst; de vare komne, Trækfuglene ful
de-vises-steen	have	har	0.80	window	Og som vi ofte have seet, naar Solstraalen skinner gjennem et Hul i Døren ind i den støvdampende Stue, at der da dreier 
de-vises-steen	føle	føler	0.82	spacy-dep	Nogle føle sig hjemme i Kippe-Luft ved den rygende Tande i Tællelyset, hvor Snapsens Stank blander sig med den slette To
de-vises-steen	søge	søger	0.82	spacy-dep	Nogle søge den friske Søbrise, den raske Kuling, eller stige op paa den høie Bjergtop og see ud over det travle Smaaliv!
de-vises-steen	finde	finder	0.82	spacy-dep	Det var Nat, hendes Fader sov, hun kyssede hans Haand, tog saa sin Teen og bandt Enden af Traaden fast til Faderens Huus
