tale	old	modern	confidence	method	context
iisjomfruen	komme	kommer	0.80	window	To saadanne ligge i de brede Fjeldkløfter under » Schreckhorn « og » Wetterhorn «, ved den lille Bjergby Grindelwald ; m
iisjomfruen	komme	kommer	0.95	window	To saadanne ligge i de brede Fjeldkløfter under » Schreckhorn « og » Wetterhorn «, ved den lille Bjergby Grindelwald ; m
iisjomfruen	stige	stiger	0.80	window	To saadanne ligge i de brede Fjeldkløfter under » Schreckhorn « og » Wetterhorn «, ved den lille Bjergby Grindelwald ; m
iisjomfruen	stige	stiger	0.90	window	To saadanne ligge i de brede Fjeldkløfter under » Schreckhorn « og » Wetterhorn «, ved den lille Bjergby Grindelwald ; m
iisjomfruen	ligge	ligger	0.90	window	Foroven hænge tidt Skyerne som tykke, tunge Røggardiner om Bjergspidserne, medens nede i Dalen, hvor de mange brune Træh
iisjomfruen	falbyde	falbyder	0.80	window	Paa begge Sider af Veien herop ligge Bjælkehuse, hvert Huus har sin lille Kartoffelhave, og den er en Nødvendighed, thi 
iisjomfruen	sælge	sælger	0.80	window	Paa begge Sider af Veien herop ligge Bjælkehuse, hvert Huus har sin lille Kartoffelhave, og den er en Nødvendighed, thi 
iisjomfruen	tale	taler	0.90	window	Der var en stor Hund, Ajola , et Arvegods efter Rudys Fader, og der var en Hankat; den især havde meget at betyde for Ru
iisjomfruen	klavre	klavrer	0.90	window	Kom, sæt din ene Pote saa, din anden saa! tag for Dig med de forreste Poter! hav Øine i Hovedet, og vær smidig i Lemmern
iisjomfruen	holde	holder	0.90	window	Kom, sæt din ene Pote saa, din anden saa! tag for Dig med de forreste Poter! hav Øine i Hovedet, og vær smidig i Lemmern
iisjomfruen	sidde	sidder	0.90	window	De sidde paa Trappegelænderet og paa Taarnrækværket, de løbe som et Egern hen ad Fjeldranden, de springe udenfor og træd
iisjomfruen	løbe	løber	0.90	window	De sidde paa Trappegelænderet og paa Taarnrækværket, de løbe som et Egern hen ad Fjeldranden, de springe udenfor og træd
iisjomfruen	springe	springer	0.80	window	De sidde paa Trappegelænderet og paa Taarnrækværket, de løbe som et Egern hen ad Fjeldranden, de springe udenfor og træd
iisjomfruen	træde	træder	0.80	window	De sidde paa Trappegelænderet og paa Taarnrækværket, de løbe som et Egern hen ad Fjeldranden, de springe udenfor og træd
iisjomfruen	kunne	kan	0.70	window	Katten, det Skarn, har lært ham sine Kunster! det Menneskebarn har en Magt for sig, der støder mig bort; jeg kan ikke na
iisjomfruen	fange	fanger	0.80	window	Særligt elske de Blomsterne, Sommerfuglene og Menneskene, og mellem disse havde de særligt udkaaret sig den lille Rudy .
iisjomfruen	gribe	griber	0.80	window	Hylsteret tog Vinden bort, men ikke Manden; »ham kunne I Kraftens Børn gribe, men ikke holde; han er stærkere, han er aa
iisjomfruen	have	har	0.70	window	Der var Flere at sige Farvel til, end Morfa’er, der var først Ajola , den gamle Hund. »Din Fader var Postkarl, og jeg va
iisjomfruen	have	har	0.80	window	At tale meget var ikke min Vane, men nu da vi nok ikke have længe at tale sammen, vil jeg tale lidt mere, end ellers; je
iisjomfruen	flytte	flytter	0.90	window	Det var en Føhn der blæste, den voldsomme Stormvind, der kaster sig fra Bjergene ned i Dalen og i sin Voldsomhed knækker
iisjomfruen	kunne	kan	0.70	window	Slaae kunne Franskmændene, slaae et Slag paa mange Maader, og Pigerne kunne ogsaa slaae!« og derved nikkede Farbro’er ti
iisjomfruen	give	giver	0.90	window	Slaae kunne Franskmændene, slaae et Slag paa mange Maader, og Pigerne kunne ogsaa slaae!« og derved nikkede Farbro’er ti
iisjomfruen	tørre	tørrer	0.80	window	Farbro’er klattrede over ham op i Træets Grene, og holdt sig fast, medens Lavinen rullede mange Favne borte fra dem, men
